objectid,Tipo de Trecho,Jurisdição,Administração,Concessionária,Revestimento,Operacionalização,Situação Física,Tráfego,Canteiro,Capacidade de Carga,Número de Faixas,st_length_,ID,geometria,Código de Trecho,shape,st_length(shape)
447,2,2,0, ,3,1,5,2,0,0,0,0.20159263,447,2,PE 550,,0.2015926319092923
449,2,2,0, ,3,1,5,2,0,0,0,0.1162533,449,2,PE 634,,0.11625329794007748
450,2,2,0, ,3,1,5,2,0,0,0,0.05309728,450,2,PE 634,,0.05309727977915153
451,2,2,0, ,3,1,3,2,0,0,0,0.037489,451,2,PE 628,,0.03748899866726077
452,2,2,0, ,3,1,3,2,0,0,0,0.11998517,452,2,PE 628,,0.11998516994352339
453,2,2,0, ,3,1,5,2,0,0,0,0.15048758,453,2,PE 628,,0.15048758226112058
454,2,2,0, ,3,1,5,2,0,0,0,0.09748029,454,2,PE 628,,0.0974802909119237
455,2,2,0, ,3,1,5,2,0,0,0,0.05641489,455,2,PE 628,,0.056414890147064606
456,2,2,0, ,1,1,5,2,0,0,0,0.03678586,456,2,PE 636,,0.03678585760864276
457,2,2,0, ,1,1,5,2,0,0,0,0.06768728,457,2,PE 636,,0.06768728427885316
458,2,2,0, ,1,1,5,2,0,0,0,0.02955695,458,2,PE 636,,0.029556949427906154
463,2,2,0, ,2,1,5,2,0,0,0,0.1318022,463,2,PE 083,,0.131802202394964
472,2,2,0, ,2,1,5,2,0,0,0,0.09419311,472,2,PE 078,,0.09419311339142242
473,2,2,0, ,2,1,5,2,0,0,0,0.05092776,473,2,PE 078,,0.05092776433322425
476,2,2,0, ,2,1,5,2,0,0,0,0.08888962,476,2,PE 059,,0.08888962471568322
483,2,2,0, ,2,1,5,2,0,0,0,0.0664738,483,2,PE 048,,0.06647380227706086
488,2,2,0, ,3,1,5,2,0,0,0,0.16765061,488,2,PE 071,,0.16765061402608097
489,2,2,0, ,2,1,3,2,0,0,0,0.0750755,489,2,PE 087,,0.07507549717275172
490,2,2,0, ,2,1,3,2,0,0,0,0.02915811,490,2,PE 087,,0.02915810977060831
492,2,2,0, ,2,1,3,2,0,0,0,0.07854272,492,2,PE 079,,0.07854271532025121
500,2,2,0, ,2,1,5,2,0,0,0,0.13001594,500,2,PE 099,,0.1300159409098265
501,2,2,0, ,2,1,5,2,0,0,0,0.12780966,501,2,PE 615,,0.12780966430671603
731,2,2,0, ,3,1,5,2,0,0,0,0.04245175,731,2,PE 084,,0.042451749943932866
519,2,2,0, ,3,1,5,2,0,0,0,0.05834994,519,2,PE 074,,0.05834993562351794
526,2,2,0, ,2,1,5,2,0,0,0,0.16876329,526,2,PE 590,,0.1687632860905611
530,2,2,0, ,2,1,3,2,0,0,0,0.20635162,530,2,PE 087,,0.20635161788512424
531,2,2,0, ,2,1,3,2,0,0,0,0.03049125,531,2,PE 087,,0.030491253009389378
534,2,2,0, ,2,1,5,2,0,0,0,0.03628935,534,2,PE 084,,0.036289347733799895
547,2,2,0, ,2,1,5,2,0,0,0,0.02836263,547,2,PE 058,,0.02836263097054098
542,2,2,0, ,2,1,3,2,0,0,0,0.07898084,542,2,PE 187,,0.07898083849609525
544,2,2,0, ,2,1,5,2,0,0,0,0.0820413,544,2,PE 039,,0.08204130471831703
732,2,2,0, ,2,1,5,2,0,0,0,0.00645234,732,2,PE 084,,0.006452335843565701
548,2,2,0, ,2,1,3,2,0,0,0,0.12362627,548,2,PE 064,,0.12362627207375793
549,2,2,0, ,2,1,5,2,0,0,0,0.3357772,549,2,PE 037,,0.33577720259693256
550,2,2,0, ,2,1,3,2,0,0,0,0.19597214,550,2,PE 079,,0.1959721398933322
556,2,2,0, ,2,1,5,2,0,0,0,0.36000716,556,2,PE 100,,0.36000716130938687
559,2,2,0, ,2,1,5,2,0,0,0,0.08387216,559,2,PE 244,,0.08387216495255972
560,2,2,0, ,2,1,5,2,0,0,0,0.3265144,560,2,PE 244,,0.32651440457269726
561,2,2,0, ,2,1,5,2,0,0,0,0.07010715,561,2,PE 244,,0.07010714590614543
562,2,2,0, ,2,1,5,2,0,0,0,0.14795538,562,2,PE 244,,0.1479553758064035
567,2,2,0, ,3,1,5,2,0,0,0,0.04136396,567,2,PE 072,,0.04136396049373465
