objectid,Código Gasoduto,Ramal,Código Material,Código Diâmetro,Finalidade,shape,st_length(shape)
316,90988,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00009536615168980351
317,90986,R. CARLOS PEREIRA FALCÃO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00018877718182374754
318,90678,R. SETÚBAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00039142058084367515
319,90677,R. SETÚBAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000008556627840452102
320,90676,R. SETÚBAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0002477205961925653
321,90675,R. SETÚBAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00022307384271218593
322,90674,R. SETÚBAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0006943274705628978
323,90673,R. SETÚBAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00018596327386072767
324,90668,R. SETÚBAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0005469264550030796
325,90667,R. SETÚBAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.000631273055169772
326,90665,R. SETÚBAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00012550250968805364
327,90671,R. SETÚBAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00016428401351318393
358,91776,EDIF. CASTELO BRUNO RENDA,PEAD,32,RESIDENCIAL,,0.00007662955876359674
328,90821,R. PADRE BERNADINO PESSOA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0007140077032614121
329,90662,R. SETÚBAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00013262353769976127
330,90820,R. PADRE BERNADINO PESSOA,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0002191480560419934
331,90625,R. DONA UZINHA NUNES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00028341413429812504
332,90624,R.  MAJOR ARMANDO SOUZA MELO,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0000688310747162057
333,90623,R. JOSÉ MOREIRA LEAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.00013119845764875314
334,90621,R. JOSÉ MOREIRA LEAL,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0002981569948286926
335,90626,R. DONA UZINHA NUNES,PEAD,63,RESIDENCIAL/COMERCIAL,,0.0002666721817767324
